slack_ns,logic_levels,src_router,dst_router,class,src_pin,dst_pin
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMA/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMA_D1/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMB/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMB_D1/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMC/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMC_D1/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMD/WE
-1.301,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_24_29/RAMD_D1/WE
-1.274,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMA/WE
-1.274,22,4,1,inter,u_mesh/GEN_R[4].r/u_datapath/west_vc0_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/u_datapath/south_vc1_fifo/fifo_mem_reg[0][flit_data]_0_3_18_23/RAMA_D1/WE
