slack_ns,logic_levels,src_router,dst_router,class,src_pin,dst_pin
0.202,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].r/G_EJECT_REG.eject_flit_q_reg[flit_data][12]/D
0.203,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].G_LINK_REG.q_w_reg[flit_data][4]/D
0.280,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].r/G_EJECT_REG.eject_flit_q_reg[flit_data][19]/D
0.292,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].r/G_EJECT_REG.eject_flit_q_reg[flit_data][22]/D
0.293,19,2,2,intra,u_mesh/GEN_R[2].r/u_datapath/local_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[2].r/u_allocator/output_owner_reg[4][0]/CE
0.295,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/G_EJECT_REG.eject_flit_q_reg[flit_data][7]/D
0.297,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_s_reg[flit_data][22]/D
0.313,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_e_reg[flit_data][22]/D
0.316,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_e_reg[flit_data][23]/D
0.334,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/G_EJECT_REG.eject_flit_q_reg[flit_data][14]/D
0.342,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_s_reg[flit_data][31]/D
0.343,18,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_e_reg[flit_data][9]/D
0.348,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/G_EJECT_REG.eject_flit_q_reg[flit_data][4]/D
0.351,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_e_reg[flit_data][5]/D
0.355,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].r/G_EJECT_REG.eject_flit_q_reg[flit_data][10]/D
0.367,19,1,1,intra,u_mesh/GEN_R[1].r/u_datapath/south_vc2_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[1].G_LINK_REG.q_e_reg[flit_data][15]/D
0.377,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_e_reg[flit_data][1]/D
0.377,19,0,0,intra,u_mesh/GEN_R[0].r/u_datapath/south_vc1_fifo/rd_ptr_reg[0]/C,u_mesh/GEN_R[0].G_LINK_REG.q_s_reg[flit_data][3]/D
